Date,Open,High,Low,Close,Adj Close,Volume
2012-05-02,24.299999,24.299999,24.155001,24.160000,19.186363,1839
2012-05-03,24.280001,24.299999,24.100000,24.100000,19.138712,4901
2012-05-04,24.055000,24.160000,23.900000,23.900000,18.979881,2328
2012-05-07,23.500000,23.600000,23.365000,23.600000,18.741638,16998
2012-05-08,23.459999,23.605000,23.260000,23.260000,18.471638,4362
2012-05-09,23.309999,23.620001,23.209999,23.620001,18.757519,3079
2012-05-10,23.790001,23.900000,23.549999,23.549999,18.701937,13130
2012-05-11,23.700001,24.299999,23.594999,24.299999,19.297537,2306
2012-05-14,24.080000,24.100000,23.950001,23.950001,19.019596,2074
2012-05-15,23.879999,24.115000,23.770000,23.770000,19.035608,57465
2012-05-16,23.730000,23.900000,23.490000,23.684999,18.967541,11270
2012-05-18,23.370001,23.580000,23.014999,23.129999,18.523079,12018
2012-05-21,22.980000,23.110001,22.870001,22.950001,18.378931,4187
2012-05-22,23.299999,23.400000,23.150000,23.400000,18.739304,2507
2012-05-23,23.350000,23.455000,22.705000,22.825001,18.278826,5804
2012-05-24,23.059999,23.309999,22.965000,23.200001,18.579142,17155
2012-05-25,23.280001,23.340000,23.135000,23.290001,18.651213,6168
2012-05-29,23.200001,23.650000,23.200001,23.650000,18.939505,1708
2012-05-30,23.559999,23.650000,23.500000,23.525000,18.839407,5188
2012-05-31,23.600000,23.600000,23.395000,23.465000,18.791357,1515
2012-06-01,23.525000,23.670000,23.100000,23.184999,18.567129,6540
2012-06-04,22.709999,23.000000,22.700001,22.809999,18.266815,18605
2012-06-05,22.785000,23.000000,22.785000,22.820000,18.274822,3902
2012-06-06,23.000000,23.325001,22.930000,23.190001,18.571129,15018
2012-06-08,23.250000,23.565001,23.250000,23.500000,18.819387,2312
2012-06-11,23.780001,23.834999,23.250000,23.535000,18.847414,17262
2012-06-12,23.105000,23.305000,23.100000,23.264999,18.631189,2738
2012-06-13,23.520000,23.520000,23.250000,23.450001,18.779343,4867
2012-06-14,23.270000,23.320000,22.865000,23.075001,18.479036,7583
2012-06-15,23.240000,23.900000,23.219999,23.900000,19.139713,3498
2012-06-18,23.820000,23.900000,23.660000,23.885000,19.127705,14901
2012-06-19,23.830000,24.645000,23.719999,24.195000,19.375959,11315
2012-06-20,24.230000,24.469999,24.035000,24.405001,19.544134,14842
2012-06-21,24.365000,24.645000,24.299999,24.450001,19.580168,6942
2012-06-22,24.030001,24.309999,24.000000,24.145000,19.335918,5778
2012-06-25,24.500000,24.500000,23.809999,23.809999,19.067642,5955
2012-06-26,23.980000,24.190001,23.900000,24.000000,19.219801,4138
2012-06-27,24.100000,24.365000,24.080000,24.260000,19.428013,5408
2012-06-28,24.174999,24.280001,23.799999,23.865000,19.111685,15207
2012-06-29,24.100000,24.235001,23.900000,24.155001,19.343924,5395
2012-07-02,24.195000,24.334999,24.014999,24.129999,19.323904,8660
2012-07-03,23.980000,24.375000,23.799999,24.280001,19.444027,21560
2012-07-04,24.330000,24.459999,24.290001,24.459999,19.588181,20391
2012-07-05,24.490000,24.809999,24.480000,24.785000,19.848442,7889
2012-07-06,24.709999,24.934999,24.315001,24.315001,19.472057,3753
2012-07-09,24.580000,24.580000,24.315001,24.315001,19.472057,7241
2012-07-10,24.385000,24.590000,24.299999,24.340000,19.492083,9233
2012-07-11,24.200001,24.340000,23.934999,23.934999,19.167744,4723
2012-07-12,24.000000,24.010000,23.580000,23.600000,18.899466,6426
2012-07-13,23.500000,24.020000,23.440001,23.915001,19.151728,13120
2012-07-16,24.000000,24.129999,23.799999,24.025000,19.239819,8337
2012-07-17,24.010000,24.285000,23.950001,24.010000,19.227806,12767
2012-07-18,24.070000,24.600000,24.035000,24.600000,19.700293,14436
2012-07-19,24.795000,25.184999,24.680000,24.809999,19.868467,9307
2012-07-20,25.360001,25.735001,24.700001,24.700001,19.780378,29199
2012-07-23,24.850000,24.850000,24.065001,24.065001,19.271847,10933
2012-07-24,24.195000,24.200001,23.969999,24.035000,19.247826,6426
2012-07-25,24.030001,24.260000,23.920000,23.959999,19.187761,5858
2012-07-26,23.795000,24.000000,23.549999,23.725000,18.999565,13811
2012-07-27,23.850000,23.969999,23.730000,23.959999,19.187761,5607
2012-07-30,24.250000,24.330000,24.059999,24.139999,19.331911,4321
2012-07-31,24.120001,24.330000,24.059999,24.059999,19.267843,3373
2012-08-01,24.000000,24.270000,23.950001,24.080000,19.283867,20876
2012-08-02,23.934999,24.100000,23.735001,23.965000,19.191769,1618
2012-08-03,24.000000,24.250000,23.900000,24.250000,19.420004,2788
2012-08-06,24.100000,24.350000,24.055000,24.350000,19.500086,2000
2012-08-07,24.250000,24.500000,24.010000,24.500000,19.620211,2591
2012-08-08,24.495001,24.584999,24.320000,24.584999,19.688284,4778
2012-08-09,24.600000,24.855000,24.514999,24.809999,19.868467,6413
2012-08-10,24.809999,24.980000,24.590000,24.665001,19.752348,7236
2012-08-13,24.700001,24.760000,24.459999,24.500000,19.620211,4287
2012-08-14,24.450001,24.674999,24.434999,24.530001,19.805914,6065
2012-08-15,24.305000,24.674999,24.305000,24.559999,19.830133,1056
2012-08-16,24.750000,24.780001,24.434999,24.780001,20.007774,7114
2012-08-17,24.900000,25.045000,24.750000,24.920000,20.120808,9712
2012-08-20,25.090000,25.100000,24.805000,24.834999,20.052177,10016
2012-08-21,24.985001,24.985001,24.570000,24.745001,19.979509,6394
2012-08-22,24.785000,24.785000,24.415001,24.520000,19.797838,8868
2012-08-23,24.215000,24.430000,24.004999,24.059999,19.426426,12728
2012-08-24,24.100000,24.205000,24.000000,24.205000,19.543501,4244
2012-08-27,24.555000,24.709999,24.500000,24.565001,19.834171,12835
2012-08-28,24.450001,24.670000,24.360001,24.410000,19.709024,13065
2012-08-29,24.370001,24.445000,24.264999,24.299999,19.620207,4033
2012-08-30,24.459999,24.500000,24.139999,24.200001,19.539469,11947
2012-08-31,24.350000,24.514999,24.170000,24.514999,19.793798,4910
2012-09-03,24.600000,24.650000,24.530001,24.540001,19.813990,12009
2012-09-04,24.600000,24.670000,24.045000,24.045000,19.414318,13775
2012-09-05,24.290001,24.299999,24.000000,24.150000,19.499098,11211
2012-09-06,24.200001,24.695000,24.120001,24.629999,19.886658,12449
2012-09-07,24.730000,24.790001,24.090000,24.125000,19.478910,7396
2012-09-10,24.254999,24.254999,23.879999,24.135000,19.486986,9169
2012-09-11,23.945000,24.139999,23.900000,24.055000,19.422394,8128
2012-09-12,24.049999,24.115000,23.900000,24.115000,19.470835,8798
2012-09-13,23.900000,23.930000,23.605000,23.735001,19.164021,11594
2012-09-14,23.735001,23.735001,23.735001,23.735001,19.164021,0
2012-09-17,23.840000,23.900000,23.620001,23.700001,19.135759,15684
2012-09-18,23.870001,23.980000,23.719999,23.860001,19.264942,24253
2012-09-19,23.950001,24.000000,23.799999,23.879999,19.281090,11440
2012-09-20,23.799999,24.155001,23.745001,24.155001,19.503134,6132
2012-09-21,24.100000,24.290001,24.010000,24.075001,19.438538,6535
2012-09-24,24.059999,24.105000,23.760000,23.825001,19.236687,6649
2012-09-25,23.799999,24.035000,23.719999,23.770000,19.192278,6699
2012-09-26,23.670000,23.764999,23.400000,23.424999,18.913721,12141
2012-09-27,23.400000,23.665001,23.330000,23.355000,18.857197,16409
2012-09-28,23.350000,23.455000,23.040001,23.205000,18.736086,9492
2012-10-01,23.040001,23.155001,22.795000,22.900000,18.489828,19346
2012-10-02,22.920000,23.120001,22.860001,22.905001,18.493866,12864
2012-10-04,23.215000,23.290001,22.799999,22.830000,18.433313,9252
2012-10-05,23.150000,23.174999,22.955000,22.955000,18.534241,10563
2012-10-08,23.020000,23.115000,22.850000,23.014999,18.582678,10351
2012-10-09,23.020000,23.115000,22.764999,22.860001,18.457535,16371
2012-10-10,22.750000,22.799999,22.594999,22.674999,18.308161,10457
2012-10-11,22.575001,22.629999,22.395000,22.535000,18.195124,13194
2012-10-12,22.350000,22.490000,22.139999,22.375000,18.065935,14930
